team,team_id_x,year,primary_pos_formatted,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted,team_id_y,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,is_wildcard
Braves,144,2017,,-25,0,-21,-1,-3,-17,-9,77%,78%,-1%,ATL,6215.0,4491.0,0.263,0.255,0.008,0.412,0.404,0.0079999999999999,0.316,0.313,0.003,0
Brewers,158,2023,,39,16,14,5,5,24,15,81%,80%,1%,MIL,6084.0,4020.0,0.24,0.238,0.002,0.385,0.383,0.002,0.309,0.31,-0.001,0
Brewers,158,2018,,38,8,6,23,1,30,8,80%,79%,1%,MIL,6207.0,4154.0,0.252,0.242,0.01,0.424,0.407,0.017,0.322,0.316,0.006,0
Brewers,158,2025,,33,14,4,12,4,22,11,80%,79%,1%,MIL,6227.0,4320.0,0.258,0.255,0.003,0.403,0.399,0.004,0.322,0.321,0.001,0
Brewers,158,2017,,29,-4,2,27,5,16,13,79%,78%,1%,MIL,6135.0,3964.0,0.249,0.237,0.012,0.429,0.395,0.0339999999999999,0.321,0.307,0.014,0
Brewers,158,2024,,29,12,10,1,5,21,8,80%,79%,1%,MIL,6170.0,4062.0,0.248,0.24,0.008,0.403,0.385,0.018,0.319,0.311,0.008,0
Brewers,158,2022,,4,-4,7,-3,4,-2,6,79%,79%,0%,MIL,6122.0,4001.0,0.235,0.235,0.0,0.409,0.395,0.0139999999999999,0.317,0.314,0.003,0
Brewers,158,2020,,4,0,2,-1,3,-1,5,78%,77%,1%,MIL,2188.0,1348.0,0.223,0.24,-0.0169999999999999,0.389,0.407,-0.0179999999999999,0.307,0.324,-0.017,0
Brewers,158,2019,,2,-11,10,-1,5,-4,7,77%,77%,0%,MIL,6309.0,4037.0,0.246,0.241,0.005,0.438,0.426,0.012,0.324,0.323,0.001,0
Brewers,158,2021,,-21,-11,-11,-2,3,-9,-12,79%,80%,-1%,,,,,,,,,,,,,0
Brewers,158,2016,,-32,-6,-8,-13,-4,-41,9,76%,77%,-1%,MIL,6059.0,3879.0,0.244,0.233,0.0109999999999999,0.407,0.383,0.0239999999999999,0.315,0.306,0.009,0
Cardinals,138,2021,,52,29,6,9,8,31,20,81%,79%,2%,,,,,,,,,,,,,0
Cardinals,138,2025,,36,8,9,13,7,26,10,78%,77%,1%,STL,6069.0,4177.0,0.245,0.248,-0.003,0.379,0.404,-0.025,0.304,0.316,-0.012,0
Cardinals,138,2022,,28,16,0,7,5,29,-1,80%,79%,1%,STL,6165.0,4320.0,0.252,0.244,0.008,0.42,0.396,0.0239999999999999,0.326,0.317,0.009,0
Cardinals,138,2019,,27,7,2,10,9,13,15,79%,79%,0%,STL,6167.0,4108.0,0.245,0.242,0.003,0.415,0.421,-0.006,0.314,0.32,-0.006,0
Cardinals,138,2024,,13,17,-11,6,1,10,2,79%,78%,1%,STL,6114.0,4253.0,0.248,0.247,0.001,0.392,0.39,0.002,0.307,0.31,-0.003,0
Cardinals,138,2020,,7,0,4,-2,5,5,3,81%,80%,1%,STL,2011.0,1295.0,0.234,0.236,-0.0019999999999999,0.371,0.395,-0.024,0.306,0.32,-0.014,0
Cardinals,138,2023,,-4,8,-6,-3,-4,-8,4,76%,76%,0%,STL,6204.0,4234.0,0.25,0.257,-0.007,0.416,0.43,-0.014,0.322,0.332,-0.01,0
Cardinals,138,2016,,-5,2,-7,-1,1,-2,-2,76%,76%,0%,STL,6222.0,4308.0,0.255,0.249,0.006,0.442,0.434,0.008,0.329,0.326,0.003,0
Cardinals,138,2017,,-10,-8,-7,1,4,6,-16,78%,78%,0%,STL,6219.0,4213.0,0.256,0.253,0.003,0.426,0.43,-0.004,0.326,0.33,-0.004,0
Cardinals,138,2018,,-38,-14,-20,-7,4,-15,-23,78%,79%,-1%,STL,6199.0,4212.0,0.249,0.243,0.006,0.409,0.416,-0.007,0.316,0.32,-0.004,0
Cubs,112,2016,,43,5,24,12,1,23,20,81%,80%,1%,CHC,6335.0,4243.0,0.256,0.243,0.013,0.429,0.409,0.02,0.333,0.324,0.009,0
Cubs,112,2025,,36,21,10,6,-1,18,18,81%,80%,1%,CHC,6162.0,4283.0,0.249,0.264,-0.015,0.43,0.46,-0.03,0.325,0.343,-0.018,0
Cubs,112,2019,,35,11,25,4,-5,30,6,77%,76%,1%,CHC,6195.0,4070.0,0.252,0.246,0.006,0.452,0.431,0.021,0.33,0.325,0.005,0
Cubs,112,2018,,26,11,8,10,-2,27,-2,79%,78%,1%,CHC,6366.0,4322.0,0.258,0.244,0.014,0.41,0.394,0.0159999999999999,0.321,0.315,0.006,0
Cubs,112,2017,,23,-4,15,8,4,20,3,79%,79%,0%,CHC,6281.0,4175.0,0.255,0.247,0.008,0.437,0.424,0.013,0.331,0.327,0.004,0
Cubs,112,2024,,23,17,-2,4,4,21,2,79%,79%,0%,CHC,6116.0,4137.0,0.242,0.241,0.001,0.393,0.398,-0.005,0.311,0.315,-0.004,0
Cubs,112,2023,,17,15,7,-5,-1,4,13,78%,78%,0%,CHC,6220.0,4180.0,0.254,0.252,0.002,0.421,0.411,0.01,0.326,0.325,0.001,0
Cubs,112,2021,,12,-3,10,5,0,-2,14,78%,77%,1%,,,,,,,,,,,,,0
Cubs,112,2020,,9,7,1,1,-1,-1,10,79%,78%,1%,CHC,2214.0,1364.0,0.22,0.231,-0.011,0.387,0.39,-0.003,0.309,0.319,-0.01,0
Cubs,112,2022,,-24,-7,-1,-14,-1,-17,-7,78%,79%,-1%,CHC,6072.0,4032.0,0.238,0.231,0.0069999999999999,0.387,0.367,0.02,0.307,0.3,0.007,0
D-backs,109,2022,,42,20,14,-3,12,25,17,80%,79%,1%,AZ,6027.0,4091.0,0.23,0.227,0.003,0.385,0.362,0.023,0.303,0.297,0.006,0
D-backs,109,2024,,37,29,13,-1,-6,11,25,78%,77%,1%,AZ,6284.0,4357.0,0.263,0.254,0.009,0.44,0.413,0.027,0.337,0.328,0.009,0
D-backs,109,2023,,35,4,20,4,6,20,15,79%,78%,1%,AZ,6124.0,4275.0,0.25,0.246,0.004,0.408,0.388,0.0199999999999999,0.317,0.311,0.006,0
D-backs,109,2018,,29,21,-7,17,-1,29,0,80%,79%,1%,AZ,6157.0,4083.0,0.235,0.235,0.0,0.397,0.393,0.004,0.306,0.309,-0.003,0
D-backs,109,2019,,29,2,17,6,4,4,24,78%,77%,1%,AZ,6315.0,4344.0,0.252,0.246,0.006,0.434,0.418,0.016,0.319,0.317,0.002,0
D-backs,109,2020,,10,1,2,4,2,9,1,80%,79%,1%,AZ,2238.0,1560.0,0.241,0.247,-0.006,0.391,0.394,-0.003,0.306,0.314,-0.008,0
D-backs,109,2025,,9,8,-13,16,-2,6,2,79%,79%,0%,AZ,6210.0,4265.0,0.251,0.254,-0.003,0.433,0.435,-0.002,0.327,0.332,-0.005,0
D-backs,109,2017,,-2,2,-6,4,0,-16,14,78%,78%,0%,AZ,6223.0,4135.0,0.254,0.247,0.007,0.445,0.421,0.024,0.329,0.321,0.008,0
D-backs,109,2016,,-6,12,-15,-2,-1,4,-11,77%,77%,0%,AZ,6259.0,4319.0,0.261,0.248,0.013,0.432,0.41,0.022,0.321,0.312,0.009,0
D-backs,109,2021,,-14,0,-5,-6,-3,-6,-8,78%,78%,0%,,,,,,,,,,,,,0
Dodgers,119,2025,,12,6,-2,10,0,5,7,79%,79%,0%,LAD,6187.0,4195.0,0.253,0.26,-0.007,0.441,0.46,-0.019,0.331,0.344,-0.0129999999999999,0
Dodgers,119,2020,,11,-6,11,0,6,7,4,80%,79%,1%,LAD,2316.0,1586.0,0.256,0.266,-0.01,0.483,0.49,-0.007,0.35,0.361,-0.011,0
Dodgers,119,2022,,6,-1,4,5,-2,3,3,80%,80%,0%,LAD,6247.0,4208.0,0.257,0.245,0.012,0.442,0.422,0.02,0.337,0.329,0.008,0
Dodgers,119,2019,,4,4,3,-2,-2,5,-1,79%,79%,0%,LAD,6282.0,4238.0,0.257,0.253,0.004,0.472,0.45,0.0219999999999999,0.338,0.334,0.004,0
Dodgers,119,2024,,-2,-1,1,-8,5,-12,10,80%,80%,0%,LAD,6255.0,4247.0,0.258,0.255,0.003,0.446,0.433,0.013,0.337,0.335,0.002,0
Dodgers,119,2023,,-4,-4,4,-2,0,-24,20,79%,79%,0%,LAD,6333.0,4239.0,0.257,0.256,0.001,0.455,0.446,0.009,0.341,0.341,0.0,0
Dodgers,119,2016,,-12,-12,7,-3,-4,1,-13,78%,79%,-1%,LAD,6163.0,4259.0,0.249,0.251,-0.002,0.409,0.415,-0.006,0.315,0.32,-0.005,0
Dodgers,119,2018,,-14,-5,3,-5,-8,-7,-7,79%,80%,-1%,LAD,6358.0,4214.0,0.25,0.242,0.008,0.442,0.424,0.018,0.333,0.328,0.005,0
Dodgers,119,2021,,-16,-2,-9,-5,0,-15,-1,79%,80%,-1%,,,,,,,,,,,,,0
Dodgers,119,2017,,-18,-7,-9,0,-3,-6,-12,80%,81%,-1%,LAD,6190.0,4097.0,0.249,0.249,0.0,0.437,0.438,-0.001,0.33,0.333,-0.003,0
Giants,137,2021,,30,15,16,1,-1,21,8,79%,78%,1%,,,,,,,,,,,,,0
Giants,137,2023,,17,14,4,-2,1,6,11,77%,77%,0%,SF,6095.0,3976.0,0.235,0.238,-0.003,0.383,0.399,-0.016,0.304,0.313,-0.009,0
Giants,137,2019,,15,6,11,6,-7,23,-8,79%,78%,1%,SF,6170.0,4210.0,0.239,0.24,-0.001,0.392,0.407,-0.0149999999999999,0.295,0.306,-0.011,0
Giants,137,2016,,14,4,11,-1,0,15,-2,79%,78%,1%,SF,6268.0,4546.0,0.258,0.254,0.004,0.398,0.394,0.004,0.315,0.316,-0.001,0
Giants,137,2020,,0,2,-2,2,-2,-5,6,79%,79%,0%,SF,2259.0,1537.0,0.263,0.251,0.012,0.451,0.437,0.014,0.337,0.33,0.007,0
Giants,137,2018,,-4,-1,0,-3,2,7,-11,79%,79%,0%,SF,6113.0,4149.0,0.239,0.235,0.004,0.368,0.367,0.001,0.29,0.292,-0.002,0
Giants,137,2024,,-7,13,-9,-3,-8,-11,4,76%,76%,0%,SF,6062.0,4065.0,0.239,0.239,0.0,0.396,0.401,-0.005,0.305,0.311,-0.006,0
Giants,137,2017,,-13,4,4,-18,-4,-14,1,78%,78%,0%,SF,6137.0,4430.0,0.249,0.242,0.007,0.38,0.38,0.0,0.296,0.298,-0.002,0
Giants,137,2025,,-23,2,-4,-22,0,-8,-15,77%,78%,-1%,SF,6072.0,4069.0,0.235,0.241,-0.006,0.386,0.397,-0.011,0.305,0.314,-0.009,0
Giants,137,2022,,-34,-4,-5,-17,-9,-13,-21,76%,77%,-1%,SF,6117.0,3989.0,0.234,0.228,0.006,0.389,0.38,0.009,0.31,0.308,0.002,0
Guardians,114,2019,,33,14,5,12,3,16,17,79%,78%,1%,CLE,6124.0,4179.0,0.25,0.243,0.007,0.432,0.415,0.017,0.319,0.316,0.003,0
Guardians,114,2017,,31,9,5,11,5,18,13,79%,78%,1%,CLE,6234.0,4426.0,0.263,0.26,0.003,0.449,0.439,0.01,0.336,0.336,0.0,0
Guardians,114,2022,,23,5,19,-1,0,19,4,80%,79%,1%,CLE,6163.0,4510.0,0.254,0.245,0.009,0.383,0.361,0.022,0.306,0.298,0.008,0
Guardians,114,2016,,21,13,1,10,-4,11,10,79%,78%,1%,CLE,6155.0,4329.0,0.262,0.253,0.009,0.43,0.413,0.017,0.326,0.322,0.004,0
Guardians,114,2021,,19,5,7,8,-2,13,6,79%,79%,0%,,,,,,,,,,,,,0
Guardians,114,2023,,12,-7,12,5,3,3,9,79%,79%,0%,CLE,6096.0,4428.0,0.25,0.258,-0.008,0.381,0.387,-0.006,0.302,0.309,-0.007,0
Guardians,114,2024,,12,2,10,3,-4,0,12,79%,79%,0%,CLE,5927.0,4174.0,0.238,0.236,0.002,0.395,0.367,0.028,0.306,0.298,0.008,0
Guardians,114,2020,,4,7,1,1,-4,-4,8,79%,78%,1%,CLE,2247.0,1465.0,0.228,0.239,-0.0109999999999999,0.372,0.393,-0.021,0.303,0.32,-0.017,0
Guardians,114,2025,,-1,9,-7,-6,4,-19,18,79%,79%,0%,CLE,5943.0,4045.0,0.226,0.233,-0.007,0.373,0.378,-0.005,0.292,0.299,-0.007,0
Guardians,114,2018,,-7,1,-3,0,-4,4,-11,78%,78%,0%,CLE,6298.0,4475.0,0.259,0.258,0.001,0.434,0.427,0.007,0.33,0.332,-0.002,0
Mariners,136,2023,,22,15,-7,10,4,22,1,79%,78%,1%,SEA,6201.0,3938.0,0.242,0.244,-0.002,0.413,0.42,-0.007,0.319,0.325,-0.006,0
Mariners,136,2017,,20,-1,23,-4,2,16,4,80%,79%,1%,SEA,6166.0,4333.0,0.259,0.254,0.005,0.424,0.424,0.0,0.321,0.322,-0.001,0
Mariners,136,2016,,4,-7,5,9,-1,0,5,77%,77%,0%,SEA,6226.0,4360.0,0.259,0.254,0.005,0.43,0.426,0.004,0.325,0.325,0.0,0
Mariners,136,2020,,1,7,-1,-7,3,6,-5,80%,80%,0%,SEA,2181.0,1399.0,0.226,0.228,-0.002,0.37,0.381,-0.011,0.298,0.308,-0.01,0
Mariners,136,2022,,1,-2,8,-8,3,-4,5,80%,80%,0%,SEA,6117.0,4032.0,0.23,0.236,-0.0059999999999999,0.39,0.393,-0.003,0.31,0.317,-0.007,1
Mariners,136,2021,,-5,3,-1,-10,2,-10,5,78%,78%,0%,,,,,,,,,,,,,0
Mariners,136,2018,,-10,4,-2,-6,-7,-6,-4,79%,79%,0%,SEA,6084.0,4362.0,0.254,0.259,-0.005,0.408,0.418,-0.01,0.313,0.323,-0.01,0
Mariners,136,2024,,-16,-6,-12,-2,4,9,-25,80%,81%,-1%,SEA,6066.0,3752.0,0.224,0.225,-0.001,0.376,0.39,-0.014,0.303,0.311,-0.008,0
Mariners,136,2019,,-23,6,-18,-3,-8,-8,-14,78%,78%,0%,SEA,6199.0,3970.0,0.237,0.229,0.0079999999999999,0.424,0.4,0.0239999999999999,0.314,0.308,0.006,0
Mariners,136,2025,,-27,-7,-21,-2,3,-22,-5,79%,80%,-1%,SEA,6200.0,4119.0,0.244,0.249,-0.005,0.42,0.432,-0.012,0.321,0.329,-0.008,0
Marlins,146,2018,,26,19,24,-13,-4,17,9,80%,79%,1%,MIA,6080.0,4168.0,0.237,0.236,0.001,0.357,0.364,-0.007,0.289,0.295,-0.006,0
Marlins,146,2016,,17,21,-5,-4,6,13,4,77%,76%,1%,MIA,6133.0,4419.0,0.263,0.254,0.009,0.394,0.385,0.009,0.309,0.306,0.003,0
Marlins,146,2025,,17,-3,2,12,5,5,12,80%,79%,1%,MIA,6142.0,4359.0,0.25,0.26,-0.01,0.393,0.422,-0.0289999999999999,0.309,0.325,-0.016,0
Marlins,146,2022,,3,5,2,5,-8,0,4,79%,79%,0%,MIA,5949.0,4006.0,0.23,0.235,-0.0049999999999999,0.363,0.372,-0.009,0.29,0.298,-0.008,0
Marlins,146,2021,,-8,0,-5,-7,4,0,-8,78%,78%,0%,,,,,,,,,,,,,0
Marlins,146,2017,,-9,5,-17,2,0,-6,-3,79%,79%,0%,MIA,6246.0,4411.0,0.267,0.254,0.013,0.431,0.411,0.02,0.325,0.316,0.009,0
Marlins,146,2020,,-11,3,-11,-4,2,-4,-8,78%,79%,-1%,MIA,2167.0,1413.0,0.244,0.236,0.008,0.384,0.378,0.006,0.308,0.305,0.003,0
Marlins,146,2019,,-11,-4,10,-17,0,-9,-2,78%,79%,-1%,MIA,6045.0,4107.0,0.241,0.239,0.002,0.375,0.384,-0.009,0.288,0.296,-0.008,0
Marlins,146,2023,,-34,-11,-9,-11,-3,-15,-19,77%,78%,-1%,MIA,6043.0,4270.0,0.259,0.257,0.002,0.405,0.412,-0.0069999999999999,0.312,0.316,-0.004,0
Marlins,146,2024,,-37,-24,-10,-1,-3,-23,-15,77%,78%,-1%,MIA,6048.0,4177.0,0.244,0.239,0.005,0.378,0.379,-0.001,0.296,0.297,-0.001,0
Mets,121,2021,,26,7,7,8,5,10,16,79%,78%,1%,,,,,,,,,,,,,0
Mets,121,2022,,10,11,-4,-3,7,15,-5,78%,77%,1%,NYM,6176.0,4336.0,0.259,0.251,0.008,0.412,0.403,0.0089999999999999,0.326,0.321,0.005,0
Mets,121,2024,,4,-4,9,0,-2,9,-6,79%,79%,0%,NYM,6166.0,4174.0,0.246,0.25,-0.004,0.415,0.417,-0.002,0.32,0.325,-0.005,0
Mets,121,2020,,-4,9,-1,-11,0,3,-7,75%,76%,-1%,NYM,2279.0,1539.0,0.272,0.254,0.018,0.459,0.425,0.034,0.347,0.332,0.0149999999999999,0
Mets,121,2025,,-13,3,-18,5,-3,-11,-2,77%,77%,0%,NYM,6178.0,4200.0,0.249,0.265,-0.016,0.427,0.464,-0.037,0.326,0.348,-0.0219999999999999,0
Mets,121,2018,,-14,-7,4,0,-11,-23,8,78%,78%,0%,NYM,6177.0,4134.0,0.234,0.23,0.004,0.389,0.371,0.018,0.305,0.301,0.004,0
Mets,121,2023,,-14,-5,-8,-4,4,-10,-3,78%,79%,-1%,NYM,6056.0,4089.0,0.238,0.243,-0.005,0.407,0.415,-0.008,0.315,0.322,-0.007,0
Mets,121,2019,,-18,0,-11,1,-7,-3,-15,77%,77%,0%,NYM,6290.0,4295.0,0.257,0.252,0.005,0.442,0.427,0.015,0.325,0.323,0.002,0
Mets,121,2016,,-33,7,-19,-24,4,-5,-28,75%,77%,-2%,NYM,6114.0,4233.0,0.246,0.244,0.002,0.417,0.406,0.0109999999999999,0.315,0.313,0.002,0
Mets,121,2017,,-53,-6,-14,-26,-7,-29,-24,76%,78%,-2%,NYM,6169.0,4292.0,0.25,0.245,0.005,0.434,0.415,0.019,0.322,0.316,0.006,0
Nationals,120,2019,,29,7,18,-1,5,22,7,78%,78%,0%,WSH,6267.0,4294.0,0.265,0.256,0.009,0.454,0.449,0.005,0.336,0.336,0.0,0
Nationals,120,2018,,-1,-6,7,3,-5,0,0,79%,79%,0%,WSH,6288.0,4309.0,0.254,0.249,0.005,0.419,0.414,0.005,0.325,0.325,0.0,0
Nationals,120,2023,,-2,6,-3,-5,1,2,-3,78%,78%,0%,WSH,6085.0,4431.0,0.254,0.249,0.005,0.396,0.386,0.01,0.309,0.306,0.003,0
