game_id,1_opener_fip,1_opener_freshness,1_others_fip,1_others_freshness,1_woba,1_ooa,1_home,1_team,1_is_wildcard,2_opener_fip,2_opener_freshness,2_others_fip,2_others_freshness,2_woba,w_ooa,2_team,2_is_wildcard,is_playoff,result
KCR_TOR_2022-07-17,4.73,120.0,3.04,24.0,0.331,6,0,TOR,0,5.07,120.0,2.66,12.0,0.302,-1,KCR,0,0,1
KCR_TOR_2023-04-03,3.86,4440.0,3.486666666666667,24.0,0.303,31,0,KCR,0,1.84,4368.0,5.59,36.0,0.324,9,TOR,0,0,1
KCR_TOR_2023-04-04,2.26,4440.0,3.885,60.0,0.303,31,0,KCR,0,5.66,4344.0,1.9725,90.0,0.324,9,TOR,0,0,0
KCR_TOR_2023-04-05,6.26,144.0,1.175,24.0,0.324,9,1,TOR,0,2.37,144.0,7.25,48.0,0.303,31,KCR,0,0,1
KCR_TOR_2023-04-06,4.16,120.0,3.354,43.2,0.303,31,0,KCR,0,1.67,120.0,2.856,72.0,0.324,9,TOR,0,0,0
KCR_TOR_2023-09-08,4.76,96.0,4.492,86.4,0.303,31,1,KCR,0,4.15,144.0,2.8083333333333336,72.0,0.324,9,TOR,0,0,0
KCR_TOR_2023-09-09,2.82,144.0,3.36,12.0,0.324,9,0,TOR,0,4.6,72.0,5.69,120.0,0.303,31,KCR,0,0,1
KCR_TOR_2023-09-10,2.97,72.0,4.73,88.0,0.303,31,1,KCR,0,4.15,144.0,3.7575000000000003,84.0,0.324,9,TOR,0,0,0
KCR_TOR_2025-08-01,3.81,144.0,2.672,52.8,0.33,20,0,TOR,0,3.77,144.0,14.14,8220.0,0.307,31,KCR,0,0,0
KCR_TOR_2025-08-02,3.72,144.0,3.965,72.0,0.307,31,1,KCR,0,4.57,144.0,3.335,54.0,0.33,20,TOR,0,0,0
KCR_TOR_2025-08-03,4.5,120.0,3.46,216.0,0.307,31,1,KCR,0,4.02,144.0,2.9042857142857144,24.0,0.33,20,TOR,0,0,1
KCR_TOR_2025-09-19,4.59,48.0,2.01,72.0,0.307,31,0,KCR,0,5.07,144.0,3.938333333333333,3392.0,0.33,20,TOR,0,0,1
KCR_TOR_2025-09-20,4.21,144.0,3.94,64.0,0.307,31,0,KCR,0,3.93,144.0,4.495,384.0,0.33,20,TOR,0,0,1
KCR_TOR_2025-09-21,3.68,120.0,3.656,292.8,0.307,31,0,KCR,0,2.36,144.0,3.6740000000000004,43.2,0.33,20,TOR,0,0,0
KCR_WSN_2016-05-02,3.01,144.0,2.85,24.0,0.307,22,0,KCR,0,2.86,120.0,2.7975,78.0,0.322,-5,WSN,0,0,0
KCR_WSN_2016-05-03,2.96,120.0,2.72,24.0,0.322,-5,1,WSN,0,5.81,144.0,4.325,96.0,0.307,22,KCR,0,0,0
KCR_WSN_2016-05-04,4.98,120.0,3.1000000000000005,48.0,0.307,22,0,KCR,0,1.86,120.0,4.455,156.0,0.322,-5,WSN,0,0,0
KCR_WSN_2019-07-05,4.03,144.0,5.1537500000000005,51.0,0.336,29,0,WSN,0,4.61,120.0,4.5600000000000005,39.0,0.302,-17,KCR,0,0,0
KCR_WSN_2019-07-06,2.02,144.0,4.869999999999999,36.0,0.336,29,0,WSN,0,5.92,120.0,5.24,48.0,0.302,-17,KCR,0,0,1
KCR_WSN_2019-07-07,5.06,120.0,3.7533333333333334,32.0,0.302,-17,1,KCR,0,3.36,120.0,3.16,48.0,0.336,29,WSN,0,0,0
KCR_WSN_2023-05-26,4.52,144.0,4.8425,48.0,0.309,-2,1,WSN,0,6.34,144.0,4.808,57.6,0.303,31,KCR,0,0,1
KCR_WSN_2023-05-27,4.47,144.0,4.0425,42.0,0.309,-2,1,WSN,0,4.86,120.0,3.4539999999999997,72.0,0.303,31,KCR,0,0,1
KCR_WSN_2023-05-28,3.94,120.0,6.33,48.0,0.309,-2,1,WSN,0,2.69,5664.0,3.2885714285714287,34.28571428555556,0.303,31,KCR,0,0,0
KCR_WSN_2025-08-11,5.01,84.0,4.137499999999999,36.0,0.307,31,0,KCR,0,3.89,120.0,6.864,52.8,0.302,-33,WSN,0,0,1
KCR_WSN_2025-08-12,4.77,120.0,5.59,48.0,0.302,-33,1,WSN,0,3.68,144.0,4.0075,54.0,0.307,31,KCR,0,0,0
KCR_WSN_2025-08-13,4.9,120.0,3.83,20448.0,0.307,31,0,KCR,0,5.41,120.0,5.935000000000001,44.0,0.302,-33,WSN,0,0,0
LAA_LAD_2016-05-16,3.72,120.0,4.215,60.0,0.315,-12,0,LAD,0,6.04,120.0,3.2633333333333336,48.0,0.314,-4,LAA,0,0,0
LAA_LAD_2016-05-17,1.4,120.0,1.13,72.0,0.315,-12,0,LAD,0,5.73,120.0,7.83,168.0,0.314,-4,LAA,0,0,1
LAA_LAD_2016-05-18,6.61,5544.0,3.2175,60.0,0.315,-12,1,LAD,0,4.84,120.0,4.58,36.0,0.314,-4,LAA,0,0,0
LAA_LAD_2016-05-19,3.99,60.0,3.7366666666666664,52.0,0.314,-4,0,LAA,0,3.85,144.0,4.29,2440.0,0.315,-12,LAD,0,0,1
LAA_LAD_2017-06-26,4.8,120.0,4.166666666666667,24.0,0.33,-18,0,LAD,0,5.74,120.0,1.7625000000000002,36.0,0.307,9,LAA,0,0,0
LAA_LAD_2017-06-27,3.89,96.0,1.25,72.0,0.33,-18,0,LAD,0,5.41,120.0,2.3833333333333333,80.0,0.307,9,LAA,0,0,1
LAA_LAD_2017-06-28,4.03,120.0,2.7533333333333334,56.0,0.307,9,0,LAA,0,5.02,144.0,3.6166666666666667,112.0,0.33,-18,LAD,0,0,1
LAA_LAD_2017-06-29,4.81,120.0,2.3133333333333335,48.0,0.307,9,0,LAA,0,3.25,120.0,1.2166666666666666,72.0,0.33,-18,LAD,0,0,0
LAA_LAD_2018-07-06,3.43,168.0,4.7219999999999995,43.2,0.313,0,0,LAA,0,2.92,144.0,3.4266666666666663,48.0,0.333,-14,LAD,0,0,1
LAA_LAD_2018-07-07,2.78,144.0,3.918333333333333,40.0,0.333,-14,1,LAD,0,7.48,72.0,3.406,38.4,0.313,0,LAA,0,0,1
LAA_LAD_2018-07-08,3.82,120.0,5.136666666666667,32.0,0.313,0,0,LAA,0,3.53,144.0,3.9724999999999997,66.0,0.333,-14,LAD,0,0,1
LAA_LAD_2018-07-13,3.02,360.0,3.7649999999999997,54.0,0.333,-14,0,LAD,0,3.84,168.0,4.372,57.6,0.313,0,LAA,0,0,1
LAA_LAD_2018-07-14,3.84,144.0,4.218,48.0,0.313,0,1,LAA,0,3.48,144.0,3.7399999999999998,57.6,0.333,-14,LAD,0,0,1
LAA_LAD_2018-07-15,7.68,48.0,3.405714285714286,37.714285714166664,0.313,0,1,LAA,0,3.19,144.0,3.1766666666666663,56.0,0.333,-14,LAD,0,0,0
LAA_LAD_2019-06-10,2.69,144.0,3.83,80.0,0.338,4,1,LAD,0,4.09,144.0,3.0766666666666667,96.0,0.316,7,LAA,0,0,0
LAA_LAD_2019-06-11,4.26,144.0,4.126666666666667,152.0,0.338,4,1,LAD,0,3.37,24.0,3.495,66.0,0.316,7,LAA,0,0,0
LAA_LAD_2019-07-23,4.27,96.0,4.343333333333333,96.0,0.338,4,0,LAD,0,2.68,96.0,4.36375,60.0,0.316,7,LAA,0,0,0
LAA_LAD_2019-07-24,4.77,120.0,4.6414285714285715,24.0,0.316,7,1,LAA,0,3.92,144.0,3.7379999999999995,62.4,0.338,4,LAD,0,0,1
