"team_name","team_id","year","primary_pos_formatted","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Red Sox","111","2022","",-12,1,-6,-3,-5,-7,-4,"78%","78%","0%"
"Red Sox","111","2024","",-18,0,-8,-9,-1,-9,-9,"78%","79%","-1%"
"Red Sox","111","2021","",-39,-8,-17,-10,-4,-27,-12,"76%","78%","-2%"
"Red Sox","111","2023","",-51,-11,-18,-14,-8,-17,-34,"77%","79%","-2%"
"Reds","113","2019","",26,10,11,6,0,34,-8,"79%","78%","1%"
"Reds","113","2018","",17,-1,14,8,-5,28,-12,"79%","78%","1%"
"Reds","113","2017","",12,4,-4,11,0,4,7,"78%","78%","0%"
"Reds","113","2025","",0,6,-10,-1,4,6,-6,"80%","80%","0%"
"Reds","113","2020","",-12,-4,0,-8,-1,-6,-6,"78%","79%","-1%"
"Reds","113","2016","",-13,-10,-16,17,-4,-5,-8,"77%","78%","-1%"
"Reds","113","2024","",-14,9,-16,-11,4,-2,-12,"79%","79%","0%"
"Reds","113","2022","",-20,-8,-4,-5,-3,-22,2,"78%","78%","0%"
"Reds","113","2023","",-35,-3,-20,-14,2,-22,-13,"78%","79%","-1%"
"Reds","113","2021","",-36,-6,-13,-21,2,-21,-15,"77%","78%","-1%"
"Rockies","115","2017","",21,15,10,-4,0,11,10,"77%","77%","0%"
"Rockies","115","2016","",19,12,8,4,-3,16,3,"76%","75%","1%"
"Rockies","115","2019","",15,14,-7,4,3,13,2,"77%","76%","1%"
"Rockies","115","2024","",9,17,-14,10,-5,8,1,"77%","77%","0%"
"Rockies","115","2020","",3,7,-8,2,3,6,-3,"78%","78%","0%"
"Rockies","115","2021","",2,6,-9,4,1,9,-7,"79%","79%","0%"
"Rockies","115","2022","",-2,5,7,-11,-3,-1,-1,"77%","77%","0%"
"Rockies","115","2023","",-2,4,-7,5,-3,6,-7,"77%","77%","0%"
"Rockies","115","2018","",-5,14,-10,-3,-5,1,-6,"79%","79%","0%"
"Rockies","115","2025","",-26,-20,-8,4,-2,-2,-24,"76%","77%","-1%"
"Royals","118","2024","",39,9,19,8,3,34,5,"79%","77%","2%"
"Royals","118","2023","",31,12,-1,16,3,31,0,"77%","76%","1%"
"Royals","118","2025","",31,33,1,-1,-3,19,12,"79%","78%","1%"
"Royals","118","2016","",22,19,6,-9,6,12,10,"77%","77%","0%"
"Royals","118","2021","",22,7,17,0,-1,10,12,"77%","77%","0%"
"Royals","118","2017","",17,7,15,-9,5,30,-13,"79%","79%","0%"
"Royals","118","2020","",10,10,1,1,-1,0,10,"78%","77%","1%"
"Royals","118","2022","",-1,4,-5,-2,3,-3,3,"77%","77%","0%"
"Royals","118","2018","",-14,-3,12,-26,3,-13,-1,"77%","78%","-1%"
"Royals","118","2019","",-17,-5,0,-9,-3,-11,-7,"77%","77%","0%"
"Tigers","116","2024","",22,12,6,3,2,5,17,"80%","79%","1%"
"Tigers","116","2022","",13,8,11,-3,-3,1,12,"79%","79%","0%"
"Tigers","116","2020","",7,3,1,5,-1,0,8,"79%","78%","1%"
"Tigers","116","2025","",-1,7,-8,-1,1,-2,1,"80%","80%","0%"
"Tigers","116","2016","",-3,7,-10,-3,3,-5,2,"77%","77%","0%"
"Tigers","116","2023","",-10,-12,0,-4,6,-17,7,"78%","78%","0%"
"Tigers","116","2017","",-13,5,-13,-5,-1,-17,3,"78%","78%","0%"
"Tigers","116","2021","",-15,-7,-2,-9,3,-14,-2,"78%","78%","0%"
"Tigers","116","2019","",-18,2,-17,-2,-2,-7,-11,"76%","77%","-1%"
"Tigers","116","2018","",-21,-1,-16,-1,-3,1,-22,"79%","80%","-1%"
"Twins","142","2017","",68,18,35,13,2,30,37,"79%","77%","2%"
"Twins","142","2021","",9,0,4,4,1,19,-10,"79%","79%","0%"
"Twins","142","2020","",8,4,-3,3,4,-1,9,"78%","78%","0%"
"Twins","142","2016","",6,5,11,-8,-3,-16,22,"76%","76%","0%"
"Twins","142","2018","",5,2,13,-10,-1,-6,11,"79%","78%","1%"
"Twins","142","2024","",3,4,4,-5,0,0,2,"78%","78%","0%"
"Twins","142","2025","",-11,2,-7,-5,-1,1,-12,"79%","79%","0%"
"Twins","142","2023","",-13,-2,-2,-7,-1,7,-19,"79%","79%","0%"
"Twins","142","2022","",-16,-8,0,-3,-5,-11,-6,"79%","80%","-1%"
"Twins","142","2019","",-24,-11,-3,-11,0,-8,-16,"77%","78%","-1%"
"White Sox","145","2020","",9,7,2,0,0,3,6,"81%","81%","0%"
"White Sox","145","2017","",9,-8,11,-3,8,9,0,"79%","79%","0%"
"White Sox","145","2016","",5,-2,7,-4,3,7,-2,"77%","77%","0%"
"White Sox","145","2018","",0,-15,0,8,6,10,-10,"79%","79%","0%"
"White Sox","145","2021","",-8,-3,-2,-3,0,-10,2,"78%","78%","0%"
"White Sox","145","2019","",-16,-2,0,-15,0,-3,-14,"77%","77%","0%"
"White Sox","145","2022","",-18,-9,1,-9,0,-13,-5,"78%","78%","0%"
"White Sox","145","2023","",-18,3,-8,-10,-2,-10,-8,"78%","78%","0%"
"White Sox","145","2025","",-24,2,-2,-18,-5,-12,-12,"79%","79%","0%"
"White Sox","145","2024","",-38,-12,-16,-12,1,-31,-6,"78%","79%","-1%"
"Yankees","147","2017","",25,-3,15,4,9,12,13,"80%","79%","1%"
"Yankees","147","2022","",21,-12,19,11,2,14,6,"81%","80%","1%"
"Yankees","147","2016","",9,7,-2,0,4,4,5,"77%","77%","0%"
"Yankees","147","2024","",9,1,-8,21,-4,19,-10,"79%","78%","1%"
"Yankees","147","2023","",3,7,-5,8,-7,8,-5,"79%","79%","0%"
"Yankees","147","2025","",-4,10,-4,-10,0,1,-5,"79%","79%","0%"
"Yankees","147","2020","",-9,2,-6,-4,-2,-16,7,"78%","79%","-1%"
"Yankees","147","2021","",-21,-11,-5,-2,-3,-19,-2,"78%","78%","0%"
"Yankees","147","2018","",-38,-14,-9,-12,-3,-27,-11,"78%","80%","-2%"
"Yankees","147","2019","",-38,-12,-26,0,1,-18,-20,"78%","79%","-1%"
