Gcar,Gtm,Date,Team,Home,Opp,Result,Series,Inngs,Dec,DR,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA,FIP,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,IR,IS,SB,CS,PO,AB,2B,3B,GIDP,SF,ROE,BAbip,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Id,GmSc,DFS(DK),DFS(FD)
9,11,2017-10-27,LAD,@,HOU,"L, 3-5",WS G3,7-GF,,1,1.1,1,0,0,0,0,0,1,0,0,0,5,0.00,1.44,15,11,3,2,2,2,0,0,0,3,0,0,0,0,5,0,0,0,0,0,.250,0.39,0.0,24.46,1.6%,1.27,7b 123 2 out d2,8b 3 out d2,stripro01,,,
10,13,2017-10-29,LAD,@,HOU,"L, 12-13 (10)",WS G5,8-9,,1,0.2,1,0,0,0,0,0,0,0,0,0,2,0.00,1.82,8,5,2,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,.500,0.16,0.0,13.27,0.2%,0.26,8b --- 1 out d3,8b 3 out d3,stripro01,,,
11,4,2019-10-07,LAD,@,WSN,"L, 1-6",NLDS G4,6-7,,7,1.0,1,1,1,0,0,0,0,0,0,1,4,9.00,3.21,17,9,2,2,2,2,1,0,0,0,0,0,0,0,3,1,0,0,1,0,.250,0.23,0.0,4.44,-0.2%,-0.46,6b --- 0 out d4,6b 3 out d5,stripro01,,,
12,2,2020-09-30,TOR,@,TBR,"L, 2-8",ALWC G2,2-4,,3,1.1,3,1,1,0,0,0,1,0,0,0,7,6.75,1.69,33,21,4,2,5,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,.500,0.12,0.0,1.15,-0.1%,-0.40,2b --- 2 out d7,3b 3 out d7,stripro01,,,
,,,,,,1-11,,,W-L:0-0,,9.2,14,7,6,0,2,0,5,0,0,1,43,5.59,2.44,168,101,26,12,19,17,10,2,0,8,4,0,0,0,39,4,0,2,2,0,.389,0.29,-0.1,8.10,-3.1%,-4.78,,,stripro01,,,
1,2,2013-10-04,STL,,PIT,"L, 1-7",NLDS G2,5-5,,5,0.2,1,0,0,0,0,0,0,0,0,0,3,0.00,3.05,11,7,1,0,2,1,1,0,0,2,1,0,0,0,3,0,0,0,0,0,.333,0.42,0.0,6.69,-0.2%,-0.15,5t 12- 1 out d4,5t 3 out d5,manesse01,,,
2,3,2013-10-06,STL,@,PIT,"L, 3-5",NLDS G3,6-7,,1,0.2,0,0,0,0,0,0,0,0,0,0,2,0.00,3.05,5,3,1,0,1,1,0,0,0,3,1,0,0,0,1,0,0,0,1,0,.000,2.67,0.0,55.97,-0.1%,0.47,6b 123 1 out tie,6b 3 out d1,manesse01,,,
3,6,2013-10-11,STL,,LAD,"W, 3-2 (13)",NLCS G1,7-7,,4,0.2,0,0,0,0,0,0,1,0,0,0,2,0.00,2.05,15,9,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,.000,0.93,0.0,24.31,0.7%,0.24,7t --- 1 out tie,7t 3 out tie,manesse01,,,
4,8,2013-10-14,STL,@,LAD,"L, 0-3",NLCS G3,8-8,,2,0.0,2,0,0,0,0,0,0,0,0,0,2,0.00,2.05,6,3,0,0,0,2,1,1,0,1,1,0,0,0,2,0,0,0,0,0,1.000,0.34,0.0,6.98,-0.4%,-1.37,8b 1-- 1 out d2,8b 12- 1 out d3,manesse01,,,
5,9,2013-10-15,STL,@,LAD,"W, 4-2",NLCS G4,6-7,H(1),0,0.2,0,0,0,0,0,0,0,0,0,0,1,0.00,2.30,3,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,.000,2.15,0.1,65.54,1.8%,0.46,6b 1-- 1 out a1,6b 3 out a1,manesse01,,,
