Gcar,Gtm,Date,Team,Home,Opp,Result,Series,Inngs,Dec,DR,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA,FIP,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,IR,IS,SB,CS,PO,AB,2B,3B,GIDP,SF,ROE,BAbip,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Id,GmSc,DFS(DK),DFS(FD)
9.0,15.0,2019-10-27,WSN,,HOU,"L, 1-7",WS G5,6-6,,0.0,1.0,0,0,0,0,0,0,0,0,0,0,3,6.75,5.61,9,5,1,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0.22,0.0,18.54,0.9%,0.54,6t --- 0 out d4,6t 3 out d4,raineta01,,,
,,,,,,5-4,,,"W-L:0-0,Hld:2",,6.2,3,5,5,1,5,0,6,0,0,1,28,6.75,5.61,123,73,18,13,1,16,4,3,0,0,0,0,0,0,23,0,0,0,0,0,0.125,0.45,-0.1,78.71,-4.6%,0.62,,,raineta01,,,
1,4,2010-10-10,TBR,@,TEX,"W, 5-2",ALDS G4,GS-6,W(1-0),6,5.0,7,2,2,1,3,0,7,0,0,0,24,3.60,4.68,94,57,16,9,6,8,4,0,0,,,0,0,0,21,1,0,1,0,0,.462,1.08,0.2,24.43,2.4%,1.31,1b --- 0 out tie,6b 1-- 0 out a4,daviswa01,49,,
2,1,2011-09-30,TBR,@,TEX,"W, 9-0",ALDS G1,9-GF(10),,4,1.0,0,0,0,0,0,0,0,0,0,0,3,0.00,3.03,14,10,3,0,0,3,1,1,0,0,0,0,0,0,3,0,0,0,0,0,.000,0.00,0.0,0.05,0.0%,0.55,9b --- 0 out a9,9b 3 out a9,daviswa01,,,
3,4,2011-10-04,TBR,,TEX,"L, 3-4",ALDS G4,8-GF,,3,1.1,1,0,0,0,1,0,1,0,0,0,6,0.00,3.45,19,13,4,2,2,2,1,0,0,2,0,0,0,0,5,0,0,0,0,0,.250,0.37,0.0,7.08,0.5%,0.88,8t 12- 2 out d2,9t 3 out d2,daviswa01,,,
4,1,2014-09-30,KCR,,OAK,"W, 9-8 (12)",ALWC G1,8-8,,3,1.0,0,0,0,0,0,0,1,0,0,0,3,0.00,1.13,7,5,2,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,.000,0.09,0.0,1.95,0.1%,0.48,8t --- 0 out d4,8t 3 out d4,daviswa01,,,
5,2,2014-10-02,KCR,@,LAA,"W, 3-2 (11)",ALDS G1,7-9,,1,1.1,0,0,0,0,2,0,1,0,0,1,6,0.00,3.99,27,15,4,4,1,2,0,1,0,1,0,0,0,0,4,0,0,0,0,0,.000,2.76,0.2,43.30,1.5%,0.78,7b --3 2 out tie,8b 3 out tie,daviswa01,,,
6,3,2014-10-03,KCR,@,LAA,"W, 4-1 (11)",ALDS G2,8-9,,0,1.0,1,0,0,0,0,0,0,0,0,0,3,0.00,3.73,12,9,0,1,1,2,2,0,0,0,0,0,0,0,3,1,0,0,0,0,.333,1.64,0.1,25.09,0.8%,0.44,8b --- 0 out tie,8b 3 out tie,daviswa01,,,
7,4,2014-10-05,KCR,,LAA,"W, 8-3",ALDS G3,8-8,,1,1.0,2,1,1,0,0,0,2,0,0,0,5,2.08,2.67,18,12,1,4,2,1,1,0,0,0,0,1,0,0,5,1,0,0,0,0,.667,0.30,0.0,3.13,0.0%,-0.52,8t --- 0 out a6,8t 3 out a5,daviswa01,,,
8,5,2014-10-10,KCR,@,BAL,"W, 8-6 (10)",ALCS G1,8-10,W(1-0),4,2.0,0,0,0,0,0,0,4,0,0,0,6,1.42,1.55,18,15,3,5,0,2,0,1,0,0,0,0,0,0,6,0,0,0,0,0,.000,1.59,0.2,41.50,3.4%,0.96,8b --- 0 out tie,9b 3 out tie,daviswa01,,,
9,6,2014-10-11,KCR,@,BAL,"W, 6-4",ALCS G2,8-9,W(2-0),0,1.0,1,0,0,0,0,0,1,0,0,0,4,1.23,1.50,18,13,4,2,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,.333,1.49,0.1,38.31,1.5%,0.48,8b --- 0 out tie,8b 3 out tie,daviswa01,,,
10,7,2014-10-14,KCR,,BAL,"W, 2-1",ALCS G3,8-8,H(1),2,1.0,0,0,0,0,0,0,1,0,0,0,3,1.08,1.45,13,9,2,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,.000,1.58,0.1,32.85,1.4%,0.48,8t --- 0 out a1,8t 3 out a1,daviswa01,,,
11,8,2014-10-15,KCR,,BAL,"W, 2-1",ALCS G4,8-8,H(2),0,1.0,1,0,0,0,0,0,0,0,0,0,4,0.96,1.63,10,9,2,1,3,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,.250,1.69,0.1,18.82,0.7%,0.48,8t --- 0 out a1,8t 3 out a1,daviswa01,,,
12,10,2014-10-22,KCR,,SFG,"W, 7-2",WS G2,8-8,,6,1.0,0,0,0,0,0,0,2,0,0,0,3,0.87,1.39,14,11,2,4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,.000,0.15,0.0,7.54,0.3%,0.48,8t --- 0 out a5,8t 3 out a5,daviswa01,,,
13,11,2014-10-24,KCR,@,SFG,"W, 3-2",WS G3,8-9,H(3),1,1.0,0,0,0,0,0,0,2,0,0,0,3,0.79,1.19,12,9,4,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,.000,1.76,0.1,110.61,5.1%,0.42,8b --- 0 out a1,8b 3 out a1,daviswa01,,,
14,13,2014-10-26,KCR,@,SFG,"L, 0-5",WS G5,8-GF,,1,1.0,2,1,0,0,0,0,3,0,0,0,5,0.73,0.86,24,16,4,3,0,2,0,0,0,2,2,0,0,0,5,1,0,0,0,0,1.000,0.18,0.0,14.59,-1.3%,-1.62,8b 12- 0 out d2,8b 3 out d5,daviswa01,,,
15,15,2014-10-29,KCR,,SFG,"L, 2-3",WS G7,7-8,,2,2.0,1,0,0,0,0,0,3,0,0,0,7,0.63,0.76,25,18,6,4,4,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,.250,0.78,0.1,129.53,11.1%,0.97,7t --- 0 out d1,8t 3 out d1,daviswa01,,,
16,2,2015-10-09,KCR,,HOU,"W, 5-4",ALDS G2,9-GF,S(1),5,1.0,0,0,0,0,1,0,1,0,0,0,3,0.00,4.13,12,8,4,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,.000,2.58,0.2,39.36,1.4%,0.51,9t --- 0 out a1,9t 3 out a1,daviswa01,,,
17,4,2015-10-12,KCR,@,HOU,"W, 9-6",ALDS G4,8-GF(10),S(2),2,2.0,1,0,0,0,0,0,3,0,0,0,7,0.00,1.47,24,19,5,6,1,3,1,1,0,0,0,0,0,0,7,0,0,0,0,0,.250,1.39,0.2,31.09,2.5%,0.94,8b --- 0 out a1,9b 3 out a3,daviswa01,,,
18,5,2015-10-14,KCR,,HOU,"W, 7-2",ALDS G5,9-GF,,1,1.0,0,0,0,0,0,0,1,0,0,0,3,0.00,1.38,8,5,1,2,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,.000,0.08,0.0,3.33,0.1%,0.51,9t --- 0 out a5,9t 3 out a5,daviswa01,,,
19,7,2015-10-17,KCR,,TOR,"W, 6-3",ALCS G2,9-GF,S(3),2,1.0,1,0,0,0,1,0,2,0,0,0,5,0.00,1.53,20,13,3,3,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,.500,1.73,0.0,45.91,0.5%,0.51,9t --- 0 out a3,9t 3 out a3,daviswa01,,,
20,11,2015-10-23,KCR,,TOR,"W, 4-3",ALCS G6,8-GF,W(1-0),5,1.2,1,0,0,0,1,0,3,0,0,1,7,0.00,1.48,30,18,5,5,1,2,0,1,0,1,0,3,0,0,6,0,0,0,0,0,.333,3.76,0.3,145.23,5.9%,1.04,8t 1-- 1 out tie,9t 3 out a1,daviswa01,,,
21,12,2015-10-27,KCR,,NYM,"W, 5-4 (14)",WS G1,10-10,,3,1.0,0,0,0,0,0,0,3,0,0,0,3,0.00,0.92,18,10,3,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,1.82,0.1,95.27,4.0%,0.51,10t --- 0 out tie,10t 3 out tie,daviswa01,,,
22,15,2015-10-31,KCR,@,NYM,"W, 5-3",WS G4,8-GF(10),S(4),3,2.0,2,0,0,0,0,0,2,0,0,0,7,0.00,0.96,27,20,3,5,2,3,2,0,0,0,0,0,0,0,7,0,0,0,0,0,.400,1.85,0.2,113.08,6.3%,0.90,8b --- 0 out a2,9b 3 out a2,daviswa01,,,
23,16,2015-11-01,KCR,@,NYM,"W, 7-2 (12)",WS G5,12-GF(13),,0,1.0,1,0,0,0,0,0,3,0,0,0,4,0.00,0.60,20,15,3,4,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1.000,0.08,0.0,2.80,0.1%,0.45,12b --- 0 out a5,12b 3 out a5,daviswa01,,,
24,1,2017-10-06,CHC,@,WSN,"W, 3-0",NLDS G1,9-GF(10),S(1),5,1.0,0,0,0,0,0,0,1,0,0,0,3,0.00,1.16,11,8,3,2,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,.000,0.58,0.0,9.09,0.5%,0.54,9b --- 0 out a3,9b 3 out a3,daviswa01,,,
25,3,2017-10-09,CHC,,WSN,"W, 2-1",NLDS G3,9-GF,S(2),2,1.0,0,0,0,0,0,0,1,0,0,0,3,0.00,1.16,13,7,1,2,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,.000,2.18,0.2,45.71,2.0%,0.53,9t --- 0 out a1,9t 3 out a1,daviswa01,,,
26,4,2017-10-11,CHC,,WSN,"L, 0-5",NLDS G4,8-8,,1,0.0,2,1,1,1,1,0,0,0,0,0,3,4.50,1.16,12,7,1,0,1,1,0,0,0,3,3,0,0,0,2,0,0,0,0,0,1.000,0.98,-0.2,21.84,-3.2%,-3.66,8t 123 2 out d1,8t 12- 2 out d5,daviswa01,,,
27,5,2017-10-12,CHC,@,WSN,"W, 9-8",NLDS G5,7-GF(10),S(3),0,2.1,2,1,1,0,2,0,3,0,0,0,9,4.15,2.23,44,23,4,6,2,2,1,0,0,2,0,0,0,0,7,0,0,1,0,0,.500,2.95,0.3,122.75,7.9%,0.53,7b 12- 2 out a2,9b 3 out a1,daviswa01,,,
28,9,2017-10-18,CHC,,LAD,"W, 3-2",NLCS G4,8-GF,S(4),5,2.0,1,1,1,1,3,0,3,0,0,0,9,4.26,5.05,48,26,8,5,1,2,0,1,0,0,0,0,0,0,6,0,0,1,0,0,.000,2.79,0.2,26.89,0.9%,0.07,8t --- 0 out a2,9t 3 out a1,daviswa01,,,
29,1,2018-10-02,COL,@,CHC,"W, 2-1 (13)",NLWC G1,8-10,,3,1.1,0,0,0,0,1,0,3,0,0,0,5,0.00,0.91,24,13,3,6,1,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,.000,2.59,0.2,53.92,2.6%,0.83,8b -2- 2 out tie,9b 3 out tie,daviswa01,,,
30,4,2018-10-07,COL,,MIL,"L, 0-6",NLDS G3,9-9,,4,0.0,2,2,2,2,2,0,0,0,0,0,4,13.50,0.91,23,11,2,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,,0.03,0.0,0.31,-0.1%,-3.02,9t --- 0 out d4,9t 12- 0 out d6,daviswa01,,,
,,,,,,25-5,,,"W-L:4-0,Sv:8,Hld:3",,40.0,29,9,8,5,18,0,57,0,0,2,160,1.80,2.05,659,424,106,96,39,46,15,8,0,12,5,5,0,1,142,5,0,3,0,0,.300,1.55,2.9,43.30,58.9%,7.75,,,daviswa01,49,,
1,2,2016-10-08,CHC,,SFG,"W, 5-2",NLDS G2,7-8,H(1),5,1.1,1,0,0,0,0,0,1,0,0,0,5,0.00,1.65,17,12,4,2,3,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,.250,0.65,0.0,10.41,0.4%,0.48,7t --- 0 out a3,8t 1-- 1 out a3,montgmi01,,,
2,3,2016-10-10,CHC,@,SFG,"L, 5-6 (13)",NLDS G3,9-GF(13),L(0-1),1,4.0,4,1,1,0,1,0,1,0,0,0,16,1.69,2.96,57,36,7,6,11,3,3,0,0,0,0,0,0,0,14,2,0,0,0,0,.308,2.31,0.2,23.99,1.0%,0.29,9b --- 0 out tie,13b -2- 0 out d1,montgmi01,,,
3,5,2016-10-15,CHC,,LAD,"W, 8-4",NLCS G1,7-8,H(2),4,0.1,1,1,1,0,0,0,1,0,0,0,2,3.18,2.62,5,5,1,1,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1.000,1.30,0.0,33.95,-0.5%,-0.15,7t 1-- 2 out a2,8t 1-- 0 out a2,montgmi01,,,
4,6,2016-10-16,CHC,,LAD,"L, 0-1",NLCS G2,7-7,,0,1.0,0,0,0,0,2,0,1,0,0,0,5,2.70,3.30,18,8,3,2,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,.000,1.42,0.1,37.51,0.9%,0.50,7t --- 0 out d1,7t 3 out d1,montgmi01,,,
5,7,2016-10-18,CHC,@,LAD,"L, 0-6",NLCS G3,8-GF,,1,1.0,2,2,2,0,0,0,1,0,0,0,5,4.70,3.02,21,13,5,3,2,2,1,0,0,0,0,1,0,0,5,1,0,0,0,0,.500,0.04,0.0,1.20,-0.2%,-1.52,8b --- 0 out d4,8b 3 out d6,montgmi01,,,
6,8,2016-10-19,CHC,@,LAD,"W, 10-2",NLCS G4,5-7,W(1-1),0,2.0,2,0,0,0,0,0,2,0,0,0,8,3.72,2.63,26,16,5,3,5,1,1,0,0,2,2,0,0,0,8,0,0,0,0,0,.333,1.32,0.0,42.39,0.2%,-0.05,5b 12- 0 out a5,6b 3 out a8,montgmi01,,,
7,12,2016-10-26,CHC,@,CLE,"W, 5-1",WS G2,6-8,,6,2.0,2,0,0,0,1,0,4,0,0,1,9,3.09,2.29,40,27,9,8,2,2,2,0,0,1,0,0,0,0,8,0,0,0,0,0,.500,0.59,0.1,30.95,2.7%,1.11,6b 1-- 2 out a4,8b 1-- 2 out a4,montgmi01,,,
8,13,2016-10-28,CHC,,CLE,"L, 0-1",WS G3,7-8,,1,0.2,0,0,0,0,0,0,0,0,0,0,2,2.92,2.34,8,6,1,2,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,.000,0.92,0.0,57.37,2.0%,0.47,7t 1-- 2 out d1,8t --- 1 out d1,montgmi01,,,
9,14,2016-10-29,CHC,,CLE,"L, 2-7",WS G4,6-6,,0,0.2,1,1,1,0,2,0,0,0,0,0,5,3.46,2.84,17,6,0,1,1,2,1,0,0,0,0,0,0,0,2,0,0,0,1,0,.333,0.95,-0.1,58.09,-3.1%,-0.94,6t --- 0 out d2,6t 12- 2 out d3,montgmi01,,,
10,16,2016-11-01,CHC,@,CLE,"W, 9-3",WS G6,6-7,,2,1.0,1,0,0,0,1,0,0,0,0,0,5,3.21,3.07,17,9,3,1,2,2,1,0,0,1,0,0,0,0,4,0,0,0,0,0,.250,0.41,0.0,32.13,0.8%,0.34,6b 1-- 2 out a5,7b 12- 2 out a5,montgmi01,,,
11,17,2016-11-02,CHC,@,CLE,"W, 8-7 (10)",WS G7,10-GF(11),S(1),0,0.1,0,0,0,0,0,0,0,0,0,0,1,3.14,3.08,2,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,.000,3.65,0.1,608.33,11.3%,0.25,10b 1-- 2 out a1,10b 3 out a1,montgmi01,,,
12,2,2017-10-07,CHC,@,WSN,"L, 3-6",NLDS G2,8-GF,,5,0.2,2,2,2,1,0,0,1,0,0,0,4,27.00,19.66,16,12,5,1,0,3,2,0,0,1,1,0,0,0,4,0,0,0,0,0,.500,1.52,-0.4,23.27,-3.0%,-2.44,8b 1-- 1 out tie,8b 3 out d3,montgmi01,,,
13,5,2017-10-12,CHC,@,WSN,"W, 9-8",NLDS G5,6-7,,4,0.1,2,1,1,0,2,1,0,0,0,1,5,27.00,20.16,14,8,3,1,1,2,0,0,0,1,1,0,0,0,3,2,0,0,0,0,.667,2.39,-0.1,99.58,-3.0%,-1.76,6b 1-- 2 out a4,6b 3 out a2,montgmi01,,,
14,6,2017-10-14,CHC,@,LAD,"L, 2-5",NLCS G1,6-7,,1,1.0,4,2,2,1,1,0,0,0,0,0,8,22.50,19.66,32,16,4,1,2,5,2,0,0,0,0,1,0,0,7,1,0,0,0,0,.500,0.83,-0.1,21.65,-1.3%,-1.15,6b --- 1 out d1,7b 12- 1 out d2,montgmi01,,,
15,8,2017-10-17,CHC,,LAD,"L, 1-6",NLCS G3,8-8,,2,0.1,1,2,1,0,1,0,1,0,0,1,4,23.14,17.73,16,8,2,2,0,2,1,0,0,0,0,0,0,0,2,0,0,0,1,0,.500,0.31,-0.1,6.38,-0.8%,-2.02,8t --- 0 out d3,8t 1-- 1 out d5,montgmi01,,,
16,10,2017-10-19,CHC,,LAD,"L, 1-11",NLCS G5,8-GF,,1,2.0,5,2,2,1,0,0,2,0,0,0,11,16.62,13.08,43,26,8,2,5,4,2,0,0,0,0,0,0,0,11,0,1,0,0,0,.500,0.01,0.0,0.12,0.0%,-0.94,8t --- 0 out d8,9t 3 out d10,montgmi01,,,
,,,,,,7-9,,,"W-L:1-1,Sv:1,Hld:2",,18.2,28,14,13,3,11,1,15,0,0,3,95,6.27,5.40,349,210,61,36,38,31,18,0,0,9,4,2,0,0,81,6,1,0,2,0,.385,1.07,-0.2,10.41,7.4%,-7.54,,,montgmi01,,,
1,2,2015-10-10,NYM,@,LAD,"L, 2-5",NLDS G2,8-GF,,6,1.0,0,0,0,0,0,0,2,0,0,0,3,0.00,-0.87,12,10,1,4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,.000,0.06,0.0,0.92,0.0%,0.44,8b --- 0 out d3,8b 3 out d3,robleha01,,,
2,11,2015-10-28,NYM,@,KCR,"L, 1-7",WS G2,6-7,,17,1.0,0,0,0,0,0,0,0,0,0,0,3,0.00,1.13,11,8,2,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,.000,0.23,0.0,12.00,0.5%,0.51,6b --- 0 out d3,6b 3 out d3,robleha01,,,
3,13,2015-10-31,NYM,,KCR,"L, 3-5",WS G4,9-GF,,2,1.0,0,0,0,0,0,0,2,0,0,0,3,0.00,0.47,15,9,4,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,.000,0.19,0.0,11.40,0.6%,0.45,9t --- 0 out d2,9t 3 out d2,robleha01,,,
4,1,2021-10-05,BOS,,NYY,"W, 6-2",ALWC G1,8-8,,2,1.0,0,0,0,0,0,0,1,0,0,0,3,0.00,1.17,11,8,1,2,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,.000,0.19,0.0,3.89,0.2%,0.56,8t --- 0 out a5,8t 3 out a5,robleha01,,,
5,3,2021-10-08,BOS,@,TBR,"W, 14-6",ALDS G2,8-9,,2,1.0,1,0,0,0,0,0,2,0,0,0,4,0.00,0.17,16,13,2,3,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,.500,0.19,0.0,3.00,0.1%,0.49,8b --- 0 out a5,8b 3 out a5,robleha01,,,
6,4,2021-10-10,BOS,,TBR,"W, 6-4 (13)",ALDS G3,8-8,BS(1),1,0.2,3,2,2,1,0,0,1,0,0,0,5,6.75,5.05,19,13,2,1,1,3,1,0,0,0,0,0,0,0,5,2,0,0,0,0,.667,2.59,-0.3,54.23,-3.7%,-1.79,8t --- 0 out a2,8t -2- 2 out tie,robleha01,,,
7,6,2021-10-15,BOS,@,HOU,"L, 4-5",ALCS G1,7-8,L(0-1),4,1.0,1,1,1,1,0,0,1,0,0,0,4,7.36,7.53,17,11,3,2,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,.000,0.98,-0.2,25.46,-2.2%,-0.47,7b --- 0 out tie,7b 3 out d1,robleha01,,,
8,8,2021-10-18,BOS,,HOU,"W, 12-3",ALCS G3,7-7,,2,1.0,0,0,0,0,1,0,0,0,0,0,3,5.79,7.24,9,5,1,1,1,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,.000,0.12,0.0,3.87,0.1%,0.56,7t --- 0 out a8,7t 3 out a8,robleha01,,,
9,10,2021-10-20,BOS,,HOU,"L, 1-9",ALCS G5,7-7,,1,0.2,2,1,0,0,0,0,0,0,0,0,3,5.06,6.73,11,6,2,0,1,2,1,0,0,0,0,0,0,0,3,0,0,1,0,0,.667,0.08,0.0,3.42,-0.2%,-0.56,7t --- 0 out d6,7t --- 2 out d7,robleha01,,,
,,,,,,4-5,,,"W-L:0-1,BSv:1",,8.1,7,4,3,2,1,0,9,0,0,0,31,3.24,4.48,121,83,18,15,8,13,3,1,0,0,0,0,0,0,30,2,0,2,0,0,.263,0.63,-0.4,3.89,-4.7%,0.18,,,robleha01,,,
1,4,2020-10-07,MIA,@,ATL,"L, 0-2",NLDS G2,GS-6,L(0-1),12,5.0,3,2,2,2,0,0,7,0,0,0,19,3.60,5.59,90,59,10,14,7,5,3,0,0,,,0,0,0,19,1,0,0,0,1,.100,0.72,0.0,11.44,0.1%,0.71,1b --- 0 out tie,5b 3 out d2,lopezpa01,60,,
2,1,2023-10-03,MIN,,TOR,"W, 3-1",ALWC G1,GS-6,W(1-0),5,5.2,5,1,1,0,2,0,3,1,0,0,25,1.59,3.78,93,62,16,5,6,13,3,2,0,,,0,0,0,22,0,0,0,0,1,.263,0.99,0.2,10.24,1.0%,1.68,1t --- 0 out tie,6t 12- 2 out a2,lopezpa01,56,,
3,4,2023-10-08,MIN,@,HOU,"W, 6-2",ALDS G2,GS-8,W(2-0),4,7.0,6,0,0,0,1,0,7,0,0,1,27,0.71,2.62,105,69,22,12,7,12,3,2,0,,,0,0,0,26,1,0,1,0,0,.316,0.77,0.3,12.29,2.7%,3.58,1b --- 0 out a1,7b 3 out a6,lopezpa01,71,,
,,,,,,2-1,,,W-L:2-1,,17.2,14,3,3,2,3,0,17,1,0,1,71,1.53,3.46,288,190,48,31,20,30,9,4,0,,,0,0,0,67,2,0,1,0,2,.250,0.83,0.5,11.44,3.8%,5.97,,,lopezpa01,62,,
1,2,2004-10-07,STL,,LAD,"W, 8-3",NLDS G2,5-6,W(1-0),3,2.0,1,0,0,0,1,0,3,0,0,0,8,0.00,1.55,35,20,4,6,2,1,0,0,1,0,0,0,0,0,7,1,0,0,0,0,.250,0.97,0.1,15.56,1.0%,1.03,5t --- 0 out tie,6t 3 out a3,harenda01,,,
2,5,2004-10-13,STL,,HOU,"W, 10-7",NLCS G1,8-8,,5,0.1,1,1,1,0,0,0,1,0,0,0,2,3.86,0.91,6,5,2,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1.000,0.23,0.0,6.01,0.0%,-0.02,8t --- 0 out a6,8t 1-- 1 out a6,harenda01,,,
3,7,2004-10-16,STL,@,HOU,"L, 2-5",NLCS G3,7-8,,2,1.1,2,1,1,1,0,0,1,0,0,0,6,4.91,4.69,21,14,2,1,1,4,0,2,0,0,0,0,0,0,6,0,0,0,0,0,.250,0.55,0.0,11.53,-0.2%,-0.23,7b --- 0 out d1,8b --- 1 out d2,harenda01,,,
4,12,2004-10-23,STL,@,BOS,"L, 9-11",WS G1,3-7,,6,3.2,2,0,0,0,3,0,1,0,0,0,16,2.45,4.82,69,41,10,7,6,6,1,0,0,3,2,0,0,0,13,0,0,0,0,0,.167,0.89,0.1,46.54,3.7%,1.46,3b 123 1 out d3,6b 3 out tie,harenda01,,,
5,15,2004-10-27,STL,,BOS,"L, 0-3",WS G4,7-8,,3,1.0,2,0,0,0,0,0,1,0,0,0,5,2.16,4.37,15,9,2,2,1,3,2,0,0,0,0,0,0,0,5,1,0,0,0,0,.500,0.30,0.0,5.79,-0.2%,-0.98,7t --- 0 out d3,8t -23 0 out d3,harenda01,,,
6,3,2006-10-06,OAK,,MIN,"W, 8-3",ALDS G3,GS-6,W(1-0),5,6.0,9,2,2,1,1,0,2,0,0,0,26,3.00,5.15,89,59,16,5,13,10,4,0,0,,,0,0,0,24,2,0,1,0,0,.381,0.97,0.2,10.04,1.0%,1.22,1t --- 0 out tie,6t 3 out a2,harenda01,47,,
7,7,2006-10-14,OAK,@,DET,"L, 3-6",ALCS G4,GS-6,,7,5.0,7,3,3,1,2,0,7,0,0,2,23,4.09,4.69,85,56,18,11,7,7,6,0,0,,,0,0,0,21,2,0,0,0,0,.462,1.23,-0.1,13.78,-0.9%,-0.63,1b --- 0 out a2,6b 1-- 0 out tie,harenda01,46,,
,,,,,,3-4,,,W-L:2-0,,19.1,24,7,7,3,7,0,16,0,0,2,86,3.26,4.55,320,204,54,33,30,32,14,2,1,3,2,0,0,0,78,6,0,1,0,0,.356,0.95,0.2,46.54,4.4%,1.84,,,harenda01,47,,
1.0,3.0,2011-10-04,MIL,@,ARI,"L, 1-8",NLDS G3,7-8,,8.0,1.0,0,0,0,0,0,0,3,0,0,0,3,0.0,-2.98,13,11,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,0.01,0.0,0.07,0.0%,0.47,7b --- 0 out d7,7b 3 out d7,narvech01,,,
2.0,4.0,2011-10-05,MIL,@,ARI,"L, 6-10",NLDS G4,6-7,,0.0,1.1,2,3,3,2,1,0,2,0,0,0,8,11.57,11.17,31,17,6,2,1,4,0,1,0,0,0,0,0,0,7,0,0,0,0,1,0.0,0.14,0.0,2.68,-0.5%,-2.56,6b --- 0 out d3,7b 1-- 1 out d6,narvech01,,,
3.0,7.0,2011-10-10,MIL,,STL,"L, 3-12",NLCS G2,8-GF,,4.0,2.0,1,1,1,1,0,0,3,0,0,0,8,8.31,9.03,27,19,7,4,2,3,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0%,-0.06,8t --- 0 out d9,9t 3 out d9,narvech01,,,
4.0,8.0,2011-10-12,MIL,@,STL,"L, 3-4",NLCS G3,8-GF,,1.0,1.0,0,0,0,0,0,0,2,0,0,0,3,6.75,7.15,13,9,2,4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0.36,0.0,11.3,0.5%,0.45,8b --- 0 out d1,8b 3 out d1,narvech01,,,
5.0,10.0,2011-10-14,MIL,@,STL,"L, 1-7",NLCS G5,6-7,,1.0,0.1,0,0,0,0,0,0,0,0,0,0,1,6.35,6.91,1,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0.0,0.27,0.0,11.17,0.2%,0.41,6b 12- 2 out d4,6b 3 out d4,narvech01,,,
6.0,11.0,2011-10-16,MIL,,STL,"L, 6-12",NLCS G6,2-3,,1.0,1.2,4,5,5,2,1,1,3,0,0,0,10,11.05,9.16,44,26,4,7,2,4,2,0,0,0,0,0,0,0,8,1,0,0,1,0,0.5,0.73,-0.2,32.87,-7.0%,-2.64,2t --- 0 out d3,3t -23 2 out d3,narvech01,,,
,,,,,,0-6,,,W-L:0-0,,7.1,7,9,9,5,2,1,13,0,0,0,33,11.05,9.16,129,83,22,20,7,11,2,1,0,2,0,0,0,0,30,1,0,0,1,2,0.154,0.3,-0.3,0.07,-6.9%,-3.93,,,narvech01,,,
1,2,2007-10-05,BOS,,LAA,"W, 6-3",ALDS G2,GS-5,,6,4.2,7,3,3,0,3,0,3,0,0,1,24,5.79,3.88,96,62,16,8,8,10,4,2,0,,,2,0,0,21,3,0,0,0,0,.389,1.13,-0.1,18.16,-0.5%,-0.63,1t --- 0 out tie,5t 1-3 2 out d1,matsuda01,38,,
